Rumah Sakit,Reviewer,Waktu,Rating,Ulasan
PRIMAYA HOSPITAL TANGERANG,Rini Susilawati,6 bulan lalu,1.0,"Pelayanannya super super lelet, pasien sudah pada standby dari sebelum jam 12, ini sudah jam 15.00 dokter belum juga datang!
Belum lagi nursenya pada jutek, mungkin karna bpjs beda kasta. Please kami ini pasien loh yang rata-rata sudah berusia."
PRIMAYA HOSPITAL TANGERANG,Yolanda Asmarita,4 bulan lalu,5.0,"tahun 2019 lalu, saya lahiran SC disini. MasyaAllah semuanya baik mulai dari staf, dokter sampai perawatnya. waktu itu ditangani oleh dr. R. Wawan, penjelasannya mudah dimengerti dan cara penyampaiannya juga baik. karena ini pengalaman …"
PRIMAYA HOSPITAL TANGERANG,nur zamzam,8 bulan lalu,1.0,Kesan pertama sudah mengecewakan..Semalam sy k igd trs disuruh melakukan administrasi yG ada tulisan triase. Disana dilakukan anamnesis sm petugasnya Nggk tau dia perawat atau admin. Sebelumnya sy tanya apakah bisa menggunakan BPJS (sy baru …
PRIMAYA HOSPITAL TANGERANG,Afif Sandy,8 bulan lalu,1.0,"Saya berobat ke primaya dengan 2 metode, pertama mandiri (kualitasnya oke) saya pernah ke lantai 7 bocah Indonesia untuk program hamil. Karena bayar, jadi oke banget pelayanannya. Nah ini sekarang saya lagi pake BPJS untuk mengatasi radang …"
PRIMAYA HOSPITAL TANGERANG,Margowiyono,6 bulan lalu,1.0,Rumah Sakit ini hanya indah megah mewah diluarnya saja sedangkan penerimaan pasien gawat daruratnya masih jauh dr kesan melayani seperti layaknya orang yg butuh pelayanan. Orang yg sakit pasti sangat ingin segera dilayani n tertangani dgn …
PRIMAYA HOSPITAL TANGERANG,Luna Widiasari,7 bulan lalu,5.0,"A 5 stars service and hospitality! Very fast respons from the customer care, registration, nurse, doctor and all of the staff. …"
PRIMAYA HOSPITAL TANGERANG,hilda febriani,6 bulan lalu,1.0,"Jam praktek mundur dr jam siang ke sore..
Praktek diinfokan 16:30 tanpa kasih tau sampai jam berapa..
16:30 saya masih dijalan menuju RS.. …"
PRIMAYA HOSPITAL TANGERANG,Norman Diponegoro,setahun lalu,5.0,"Terimakasih Primaya Hostpital, untuk pelayanan dokter, suster, bidan, administrasi, costumer care, dan lain nya sangat baik dan ramah untuk kita keluarga baru yg baru melahirkan anak pertama. …"
PRIMAYA HOSPITAL TANGERANG,Pengguna Android,5 bulan lalu,5.0,Cucu aku di rawat di kamar 535 ..subhanallah Alhamdulillah dilayani dengan baik.dokter visite ramah ..nakes nya juga baik semua..termasuk bagian administrasi nya. Pelayanan cepat ..cucu ku ga menunggu lama dari UGD ke ruang ranap..terimakasih Primaya Hospital..
PRIMAYA HOSPITAL TANGERANG,siti hanifah,7 bulan lalu,5.0,"Salam hormat untuk semua nakes dan non nakes RS Primaya Tangerang
Service Excellent, ramah, helpfull
Terima kasih untuk Perawat IGD atas nama Kak Silvi dan admin RS yang berjaga tgl …"
PRIMAYA HOSPITAL TANGERANG,Densi Yustria,3 bulan lalu,5.0,"Terima kasih RS primaya,,,tempat yang nyaman,petugas ramah,perawat yg baik dan dokter yang sigap. ...pokoknya terima kasih untuk semua pelayanannya..."
PRIMAYA HOSPITAL TANGERANG,Astie Astie,5 bulan lalu,5.0,"Untuk pelayanan yg diberikan sangat baik, semua petugas ramah, untuk kebersihan pun sangat diperhatikan sehingga pasien dan keluarga pasien nyaman selama berada di rumah sakit."
PRIMAYA HOSPITAL TANGERANG,Dwi,Diedit 4 tahun lalu,4.0,"Rumah sakit dengan kualitas pelayanan terbaik. Kondisi ruangan di RS sangat rapi, bersih dan steril. Tempat parkiran sangat luas karena sekarang sudah di renov. Penanganan Dokter cukup baik. Suster di ruangan ""Sapphier"" baik, sabar, ramah …"
PRIMAYA HOSPITAL TANGERANG,Fauziah,Diedit 5 tahun lalu,5.0,"Pelayanan ramah dimulai dari petugas parkir, satpam, perawat, administrasi, dokter, hingga farmasi. …"
PRIMAYA HOSPITAL TANGERANG,Oppo Po,5 bulan lalu,5.0,"Terima kasih Tuhan, primaya hospital tangerang sangat memuaskan, pelayanan nya terbaik,dokter tolhas yang terbaik, ibu chuntari sebagai malaikat buat saya ... Semoga semakin maju primaya hospital"
PRIMAYA HOSPITAL TANGERANG,Silvia Septiani,8 bulan lalu,1.0,"dr sonya radiologi praktek jam 4 sore eh malemnya chat mau ga besok 7.30, okein.. jam 7 mendadak chat dokter sudah diruangan, dari rumah ke primaya aja setengah jam. sampe sana 7.30 pun masih pendaftaran lama bener.. …"
PRIMAYA HOSPITAL TANGERANG,Abe Seventy7,6 bulan lalu,1.0,"Pelayanan BPJS sangat buruk, menunggu dokter dari jam 2 sampai 6 sore belum datang juga. RS terburuk yg pernah saya tau."
PRIMAYA HOSPITAL TANGERANG,Soni Fitriani,6 bulan lalu,5.0,"- Pelayanan dokter n staf perawat sangat baik dan menyenangkan
- Fasilitas ruangan termaauk kebersihan baik
- Menu makanan baik …"
PRIMAYA HOSPITAL TANGERANG,shafira ana,setahun lalu,5.0,"Dari tahun 2019 sudah berobat disini sampai skrg lahiranpun disini, yang jadi keunggulan dari rumah sakit ini adalah pelayanannya. Karena pelayanannya menurut saya sangat baik dan perawatnya sangat helpful selama dirawat disini. Saat melahirkan saya juga dapat souvenir, terimakasih primaya"
PRIMAYA HOSPITAL TANGERANG,feMz sarasVati,4 tahun lalu,4.0,Area RS sebelahnya dekat dengan beberapa penjual makanan. Lumayan untuk alternatif makanan yg lebih murah. …
PRIMAYA HOSPITAL TANGERANG,Ratu Hendriani,6 bulan lalu,4.0,"Super menyesal memilih dokter R sebagai dpjp, dokternya ga punya etika, money oriented. Ternyata track record nya emang jelek. Giliran sama medrep aja ramah bgt😂terlihat jelas muka humble nya di poli saat ada kunjungan dari medrep, medrep …"
PRIMAYA HOSPITAL TANGERANG,mic drt,Diedit 3 bulan lalu,1.0,"Ruang ODC nya lama bget hampir 2 jam lebih blm di panggil2 tlong dong layanan nya terutama pendaftaran supaya lebih cepatt pasien, ayoo di perbaiki dong layanan nya nii"
PRIMAYA HOSPITAL TANGERANG,Ibu Nurlina,Diedit 7 bulan lalu,3.0,"Perawatnya kurang ramah (terutama di lantai 2 lobi radioterapi), tempat menunggu dokter atau tempat antriannya sempit dibanding dengan rumah sakit lain"
PRIMAYA HOSPITAL TANGERANG,mougy shop,10 bulan lalu,2.0,"aneh bgt ini rumah sakit tapi musholanya di parkiran mobil yg harus naik tangga banyak dan nanjak di tanjakan mobil, bener2 gak lansia dan orang sakit friendly"
PRIMAYA HOSPITAL TANGERANG,hance s,6 bulan lalu,1.0,"Sebenarnya mls bgt bikin ulasan lgi, Krn pihak RS minta hapus dan mau naikin kasus saya. Tpi tetap aja sudah 2 BULAN TIDAK ADA KEJELASAN. Capek hati capek tenaga. Semoga dr dan staf ybs mendapatkan balasannya.🤲 …"
PRIMAYA HOSPITAL TANGERANG,Raisha Hakkie,Diedit 2 tahun lalu,5.0,"Dengan BPJS, pelayanannya sangat baik, dokternya ramah, susternya ramah. Di IGD nurse nya semua baik, saat pulang dr RS obat diambilkan suster, dan kasir RS sangat nyaman. …"
PRIMAYA HOSPITAL TANGERANG,Sabil Al,6 bulan lalu,1.0,kurang menyenyenangkan suster nya masa saya sudah berobat di kasih jadwal kontrol lagi di hari ga ada dokter nya dan nanya ke tempat pendaftaran harus ambil antrian dlu udh nunggu 1 jam pas bagian no antrian si mba administrasi nya bilang …
PRIMAYA HOSPITAL TANGERANG,Heti Pebriana,7 bulan lalu,1.0,"Iya emang pake bpjs, tp masa jadwal dokter di jam 14.00 sampe jam 16.00, blm di periksa satupun dokter datang jam 16.30 sudah di ruangan tp sampe jam 17.10 blm ada satu pun pasien di panggil..."
PRIMAYA HOSPITAL TANGERANG,Ahmad Riyan,5 bulan lalu,1.0,tadi pagi saya ke igd rs ini bawa pasien yg bisa dibilang penyakit sudah parah padahal penyakit/luka sudah jelas dan sangat butuh pertolongan/perawatan tapi kata dokter di igd hanya untuk pasien gawat darurat emng nya pasien yg saya bawa …
PRIMAYA HOSPITAL TANGERANG,Mudiana Ahmad,7 bulan lalu,1.0,"RS paling dekat ke rumah, tapi paling  males sy datangi padahal sy kuret dan lahiran disini. Tp sore ini sycoba dtg karna anak sy ngeluh sakit terus di k2 telapak kakinya. Memang jln normal… tp di cek mbaknya dia bilang, ga terlihat seperti …"
PRIMAYA HOSPITAL TANGERANG,Een Haerani,3 tahun lalu,5.0,"Assalamualaikum...share pengalaman  setelah sy konsul ke poli saraf Rs Primaya Tangerang..
tgl 4 Oktober 2022 sy konsul dgn Dr Subrady spBS.karena dr hasil Ct Angiografi …"
PRIMAYA HOSPITAL TANGERANG,Arga Malona,7 bulan lalu,1.0,"Awas iGD nya klo pake BPJS di lama lamain, saya datang jam 2 nunggu petugas mondar mandir eh keduluan sama yg ga pake BPJS. padahal keluhannya cuman batuk pilek. Saya aja blom tes darah ini dbd atau tidak, saat mama saya tanya perawat nya …"
PRIMAYA HOSPITAL TANGERANG,Lie David,4 bulan lalu,5.0,Primaya hospital tangerang adalah rumah sakit pelayanan terbaik. Sangat rekomendasi. Terima kasih sudah merawat anak saya.
PRIMAYA HOSPITAL TANGERANG,Angger Ndaruratry,2 tahun lalu,4.0,"Pelayanan ramah dan baik
Fasilitas cukup lengkap
Parking luas …"
PRIMAYA HOSPITAL TANGERANG,Lagi Kangen,Diedit 8 tahun lalu,4.0,"Rumah sakit Awal Bros, bersih dan nyaman, dari mulai parkiran, toilet, kantin sampai dalam ruang-ruang rumah sakit, semua bersih dan terasa nyaman.
Berharap dalam pelayanannya juga memberikan nyaman tanpa membedakan antara …"
PRIMAYA HOSPITAL TANGERANG,CendolYellow Production,4 bulan lalu,1.0,Nunggu obat sangat lama. Ga ada info dari kasir alasannya sama ga tau obat mesti diracik. Hampir 2 jam nunggu obat doang
PRIMAYA HOSPITAL TANGERANG,Salsabila Nadif,2 tahun lalu,5.0,"Masya Allah bgt pelayanan rumah sakit ini,,full semua ramah melayani dengan sepenuh hati tanpa pandang bulu,,
Bahkan BPJS kelas 3 pelayanan nya sudah dapat kamar sendiri dengan pasilitas …"
PRIMAYA HOSPITAL TANGERANG,Usmi Miyah,7 bulan lalu,2.0,"Antrian pengambilan obat lama sekali, kenapa ga meniru rs sari asih yg bekerja sama dengan jne, untuk pengantaran obat, pasien rela membayar, dari pada menunggu lama, yang membuang waktu, apalagi banyak lansia..."
PRIMAYA HOSPITAL TANGERANG,Safira Aulia,8 bulan lalu,5.0,"Berterima kasih & apresiasi untuk RS PRIMAYA HOSPITAL CIKOKOL ini.
Pelayanannya sangat sangat bagus, dokter, suster & semua staffnya ramah ramah.
Proses administrasinya anti ribet. …"
PRIMAYA HOSPITAL TANGERANG,"Arintha Retwitasari, S.Kom.",setahun lalu,3.0,"Untuk fasilitas dan pelayan sih oke, cuma yg gak oke buat pasien jd bener2 gak bisa istirahat, karena nih pengalaman opname disitu keseringan ditanya ""sebutkan nama dan tanggal lahir"" sehari bisa 10 kali, padahal kondisi lagi sakit gak enak …"
PRIMAYA HOSPITAL TANGERANG,Syasha Egydhia,5 bulan lalu,1.0,"untuk rawat jalan pakai BPJS sangat tidak di rekomendasikan karena pelayanan yang sangat buruk, dipandang sebelah mata dengan suster yang seharusnya melayani."
PRIMAYA HOSPITAL TANGERANG,Adib Bukhori,Diedit 2 tahun lalu,4.0,"Pelayanan cukup baik, antrian BPJS terjadi di hari tertentu dan dilayani sedari  pagi . Pelayanan rawat inap cukup memuaskan ."
PRIMAYA HOSPITAL TANGERANG,Princess Raisya,2 tahun lalu,5.0,"Alhamdulillah semua perwat, security, Cleaning service begitu baik dan ramah, dan berjalan lancar tindakan ESWL, dr.Cahyo juga sabar banget...
Sayangnya mushola kotor apalagi tempat wudhu perempuan, semoga bisa lebih …"
PRIMAYA HOSPITAL TANGERANG,Sakti Al Fattaah,setahun lalu,5.0,"Pelayanannya ramah, cepat, dan memuaskan. Khususnya dr Muslim, yang sangat proaktif dan gercep membantu pasien. All the best untuk RS Primaya. Orangtua saya sudah banyak dibantu mulai dari Covid sampai ketika penanganan serangan jantung, terima kasih 🙏🏼 …"
PRIMAYA HOSPITAL TANGERANG,Dani Diswanto,8 bulan lalu,1.0,"Hari jadwal dengan dr Ari Sigit. Ini yg kedua kali control kami pasien ditinggal Krn ada opearsi. Kami nunggu sampai 3 jam . Tak kunjung datang lagi dr nya..
Ya Allah kok begini. SDH rasa sakit yg kami drita kok seenknya mempermainkan jadwal .. Klo ada operasi Yo kami diarrngebkenjari ini tidak menunggu seperti inim."
PRIMAYA HOSPITAL TANGERANG,Dian Reinrein,6 bulan lalu,5.0,"Perawatan disini oke banget sat set cepet, baik asuransi bpjs dan pribadi pelayannya sama cepatnya, thanks primaya"
PRIMAYA HOSPITAL TANGERANG,Zainul Arifin,setahun lalu,5.0,"Rumah Sakit PRIMAYA TANGERANG merupakan salah satu rumah sakit yg terbaik , pelayanannya bagus dan juga selalu peduli dengan pasien yg berobat . Semoga kedepan lebih baik lagi . Sukses selalu. Terima kasih untuk mas Kurniawan yg telah banyak membantu kami sewaktu berobat di rumah sakit ini"
PRIMAYA HOSPITAL TANGERANG,Nirma Silvia Wati,setahun lalu,5.0,"Perawatnya ramah pol, dokternya juga ramah informatif, dan baik sekali, serta hati-hati sekali memeriksa telingaku yang sakit. Alhamdulillah abis itu sembuh 👍🏻 …"
PRIMAYA HOSPITAL TANGERANG,Reza Mahendra,5 bulan lalu,1.0,Mau ke toilet gedung baru lantai 1 aja ditanya security disuruh pakai toilet lama yg cuman 1 biji....emang di India toilet pake kasta
PRIMAYA HOSPITAL TANGERANG,Lisa Marthapina,10 bulan lalu,5.0,"Rumah sakit nya bersih , bidan bidan dipoli ramah ramah , dokter nya ramah baik.
Pelayanan nya prima . …"
PRIMAYA HOSPITAL TANGERANG,Yadi Cah,setahun lalu,5.0,"Dpt free upgrade kamar kelas 1 jd room mini vip
- Makanannya enak bs d makan
- Konsep Kamar nya mini vip tp nyaman …"
PRIMAYA HOSPITAL TANGERANG,Deden Zauhar Adenan,4 bulan lalu,1.0,orang masih sakit di suruh pulang dengan alasan kamar penuh. sungguh buruk sekali pelayanan nya
PRIMAYA HOSPITAL TANGERANG,nurholip hidayah,9 bulan lalu,2.0,"Pertama kali berobat ke RS ini, expektasi nya bahwa RS swasta lebih baik dari RS Negeri.
Tapi ternyata ga semua nya sesuai expect. …"
PRIMAYA HOSPITAL TANGERANG,Ayuningtias Srie Widari,3 tahun lalu,1.0,System nya ga bagus lelet gak conect satu dg lain kalo ksini pasti 2 jam. Trus dpn RS dr arah berlawanan ga bs lgsg belok kanan hrs lurus terus muterin tangerang. Pemkotnya aneh hrsnya jalur RS dipermudah! …
PRIMAYA HOSPITAL TANGERANG,Kel,setahun lalu,1.0,"RS TERPARAH YANG PERNAH ADA. JANGAN PERNAH KESINI KL GAK MAU BERAKHIR SEPERTI KELUARGA SAYA. Hari ini kami mengenang kematiannya yang sangat menyedihkan krn setelah masuk RS malah tidak diapa2in, diksh obat seadanya. Bahkan kita sebagai …"
PRIMAYA HOSPITAL TANGERANG,Fikri Abdillah,3 bulan lalu,5.0,"Apakah ada nomor telpon yang bisa dihubungi?
Saya mau tanya untuk nama rs ini di faskes apaa yaa?"
PRIMAYA HOSPITAL TANGERANG,Abdul Rohman,3 bulan lalu,5.0,Sangat puas dengan pelayanannya.. Alhamdulilah bapak saya sudah pulih kembali..
PRIMAYA HOSPITAL TANGERANG,ANDREAN SYAHPUTARA,7 bulan lalu,3.0,"Rumah sakit nya bagus tapi ruang tunggu driver nya ga ada kasian para supir yang nunggu pada kepanasan.
Tolong di pikir kan buat ruang tunggu driver nya dong."
PRIMAYA HOSPITAL TANGERANG,Delfin Hayon,2 tahun lalu,5.0,"Hari ini saya pemeriksaan CT Scan, Meskipun pasien radiologi nya banyak, petugas sangat rapi dalam mengatur pasien dan dalam memberikan penjelasan sangat baik sekali, apalagi mas nya dalam memeriksa sangat cekatan dan gesit, terima kasih ya radiologi primaya, saya sangat berkesan hari ini..."
PRIMAYA HOSPITAL TANGERANG,Sally Vicira,setahun lalu,5.0,"dari aku belum nikah, dari primaya awalnya namanya global medika, berobat disini terus sampe punya anak.
Terimakasih dr. Inneke, terimakasih juga dr. Suryadi susanto, makasih juga …"
PRIMAYA HOSPITAL TANGERANG,Iin Sakinah,7 bulan lalu,5.0,"Anak saya operasi di RS ini menggunakan BPJS sm dokter sub spesialis bedah anak... Dokter flora namanya, beliau sangat komunikatif dan responsif... Alhamdulillah anak saya sudah sembuh pasca OP... RS ini pelayanan nya baik, susternya pun …"
PRIMAYA HOSPITAL TANGERANG,susi rosita,8 bulan lalu,1.0,"Maaf ini di sarankan pasien untuk ke igd cuci darah tapi koq katanya harus bayar kalau sehari 2 kali berobat lalu gimana kalau besok di jawab di igd gak menjamin, koq gak jelas ini rumah sakit,ini kan saran dokter"
PRIMAYA HOSPITAL TANGERANG,AKU KAMU,3 bulan lalu,5.0,Terima Kasih kebijakan durasi gratis parkir (drop off) dari RS Primaya Hospital sangat membantu
PRIMAYA HOSPITAL TANGERANG,andri wibowo,setahun lalu,1.0,"Mungkin sudah beberapa dokter disni yang pernah saya ketemui, pengalaman terburuk saya ada di dokter rehabilitasi medis sudah beberapa kali rawat jalan dengan dokte Ray apakah perobatan menggunakan BPJS harus di buat menunggu lama, janjian …"
PRIMAYA HOSPITAL TANGERANG,Iam fadli,10 bulan lalu,5.0,"Pelayanan sangat baik saat saya MCU, harga terjangkau Tempat nya nyaman bagus"
PRIMAYA HOSPITAL TANGERANG,Lilah Ulil,9 bulan lalu,5.0,"Di rawat 3hr 2 malam di ruang vip, ruangannya nyaman dan lengkap. Pelayanannya sangat ramah. Semua karyawan, security, bahkan staff management pun sangat ramah, terutama pak kurniawan staff management mempermudah setiap kendala yg terjadi. …"
PRIMAYA HOSPITAL TANGERANG,Asni Nuraeny,Diedit 4 tahun lalu,5.0,"Janjian sore2, syukur ada RS yang dokternya masih praktek. Biaya konsultasi dokter spesialis 360 rb, biaya administrasi 50 rb"
PRIMAYA HOSPITAL TANGERANG,Tia Restutika,4 bulan lalu,5.0,"Pelayanan sangat memuaskan, perawat sangat peduli dan fasilitas nya bagus sekali"
PRIMAYA HOSPITAL TANGERANG,Purplecakes Indonesia,5 tahun lalu,5.0,Sampai saat ini rumah sakit ini saya kasih bintang 5 karena sudah membantu merawat mama saya yang terkena kanker terutama dokter Abdul terimakasih banyak ya dokter semoga dokter selalu sehat dan bahagia …
PRIMAYA HOSPITAL TANGERANG,Eza Yulistiyan,setahun lalu,5.0,"Rumah sakit rujukan terbaik, pelayanan sangat cepat dan petugasnya ramah2, mohon dapat di pertahankan, terimakasih..."
PRIMAYA HOSPITAL TANGERANG,John fadli,8 bulan lalu,5.0,"Rumah sakit bersih, nyaman, pelayanan nya baik,,, luar biasa ... Saat MRI perawat memberi pengarahan dengan baik dan santun... Terima Kasih banyak"
PRIMAYA HOSPITAL TANGERANG,Dewi Wi,Diedit 9 bulan lalu,4.0,"Allhamdulillah dokter dan suster ya baik2, pelayanan ya juga Baik, tapi pas pasien mau balik lama nunggu ya jadi pasien sudah semangat jadi lesu lagi karena kelamaan nunggu obat dll"
PRIMAYA HOSPITAL TANGERANG,YOHANES SATO,5 bulan lalu,5.0,"Pelayanan yang diberikan sangat baik, sukses selalu Primaya Hospital Tangerang"
PRIMAYA HOSPITAL TANGERANG,Citra Putri,3 tahun lalu,5.0,"Buat pendaftaran, administrasi, pengambilan obat, emang udah banyak review kalo agak minus karna lama. Tapi dokter, perawat dan bidan disini semuanya ramah, baik, sabar, kompeten"
PRIMAYA HOSPITAL TANGERANG,morhan steven siahaan,8 bulan lalu,1.0,Sebenarnya sdh 1bulan yll sodara kami masuk IGD primaya Tangerang karena penuh sodara kami saran rujuk....kami di saran kan pakai jasa ambulan luar oleh pihak petugas yg menangani pasien untuk rujukan...kami lupa nama ambulannya tapi kami …
PRIMAYA HOSPITAL TANGERANG,aliana dumbly,4 tahun lalu,2.0,Dokter oke. Perawat oke. Cuma kasirnya aja yang ampun. Nunggu proses kepulangan sampe 4 jam belum selesai juga. Ditanya berapa lama lagi katanya masih sejam lagi. YA ALLAH. Kenapa buat proses kepulangan aja pasien harus nunggu selama itu. …
PRIMAYA HOSPITAL TANGERANG,Ezos Garputala,8 bulan lalu,4.0,"selmat pagi, mohon ma'af, saya mau bertanya, jadwal poli jantung dan pembuluh darah hari apa aja, buka jam berapa, tutup jam brapa? dan cara alur pendafatran pake bpjs gimna?🙏🙏 …"
PRIMAYA HOSPITAL TANGERANG,Fazrif,7 bulan lalu,5.0,"Services excellent!!!!!! Terima kasih banyak semua suster, admin, dokter, OB, catering dan semua orang yg terlibat 🙏🏻❤️ …"
PRIMAYA HOSPITAL TANGERANG,Norma Gupita,6 bulan lalu,5.0,"Pelayanan sangat baik untuk bagian laboraturium, pengambilan darahnya juga nggak sakit, kualitasnya sangat baik"
PRIMAYA HOSPITAL TANGERANG,Ibu Rusmini,3 bulan lalu,5.0,"Pelayanan sangat memuaskan, pasien BPJS juga sangat oke dilayani"
PRIMAYA HOSPITAL TANGERANG,Sutan Tri Rabbani,5 tahun lalu,4.0,"Rumah sakit besar dengan fasilitas yang cukup memadai, parkiran cukup luas, dan juga keamanan yang baik dengan berbagai pintu yang hanya bisa diakses oleh petugas. …"
PRIMAYA HOSPITAL TANGERANG,Leni Susanti,4 bulan lalu,5.0,"Ada pelayanan keluhan customer sangat cepat merespon, semoga pelayanan nya lebih baik lagi"
PRIMAYA HOSPITAL TANGERANG,maimun rassyid,setahun lalu,5.0,"RS. Primaya hospital pelayanannya sangat menyenangkan, selama saya dirawat di RS primaya hospital tangerang, saya ditangani dengan sangat baik oleh dokter dan perawat serta saya dilayani dengan saat baik oleh seluruh pegawai …"
PRIMAYA HOSPITAL TANGERANG,Brigitta Nadya,6 bulan lalu,5.0,"pelayanan yang sangat baik, staf ramah dan profesional, fasilitas rs terawat dengan baik"
PRIMAYA HOSPITAL TANGERANG,Rhizkika Nugraheny,3 tahun lalu,1.0,"Kalo ngk karena mau ketemu dokter yg praktek disana, mending pilih RS.Lain…
Dari proses pendaftaran sampai dapat obat sampai 4 jam. Padahal antri dokter cuman 30 menit. …"
PRIMAYA HOSPITAL TANGERANG,Siti Savana,3 bulan lalu,5.0,"Pelayanan bagus, perawatnya jg ramah dn staf2 nya"
PRIMAYA HOSPITAL TANGERANG,Liem Lian lie,5 bulan lalu,5.0,Pengalaman berobat pakai bpjs cepet kok dan sistem nya juga mudah dan ramah. Sukses
PRIMAYA HOSPITAL TANGERANG,Hannida N Syafitri,7 tahun lalu,5.0,"Pelayanan di rumah sakit ini sangat ramah dan buat pasien nyaman, susternya gak ada yang judes biasanya suster kalo pada capek kan judes disini gak loh"
PRIMAYA HOSPITAL TANGERANG,henny kartikasari,3 tahun lalu,2.0,"13 Maret 2023, hari ini sy antar bayi 9 bulan, anak teman. Dia rujukan dari rsud kota tangerang yg menderita hernia dr lahir. Berasal dari keluarga tidak mampu. Mengurus BPJS dari nol sendiri ke Tigaraksa dengan penuh perjuangan krn tidak …"
PRIMAYA HOSPITAL TANGERANG,Devi Sysianti,10 bulan lalu,5.0,"Saya menjalani operasi dan perawatan di RS Primaya Kota Tangerang, selama saya disana di rawat dengan baik. Perawat dan dokter nya baik, ramah komunikatif, pelayanannya cepat dan terarah. Memberikan penjelasan dengan cepat dan jelas. …"
PRIMAYA HOSPITAL TANGERANG,Hamdy M,6 tahun lalu,4.0,"Parkir luas tp selalu penuh. Banyak mobil parkir pararel. Untung petugasnya sigap.
Mushola di dekat kamar jenazah. Klo sholat isya' sendiri, kondisi lg sepi, …"
PRIMAYA HOSPITAL TANGERANG,PILOTPENING,Diedit 3 tahun lalu,4.0,"Parkiran terlalu jauh jika pasien rawat jalan
membawa kendaraan sendiri. …"
PRIMAYA HOSPITAL TANGERANG,Multyhadiani,4 tahun lalu,5.0,"Pelayanan baik dan ramah, harga cukup terjangkau untuk antigen.
Karna datang terlambat tp kebutuhan urgen dijiinkan untuk swab anti gen, terimakasih primaya hospital"
PRIMAYA HOSPITAL TANGERANG,widia astuti,8 bulan lalu,5.0,Trimakasih RS Primaya telah memberikan pelayanan yang memuaskan..dokter dan perawatnya sangat baik dan ramah
PRIMAYA HOSPITAL TANGERANG,Zaky Millac,6 bulan lalu,5.0,"Semua Fisioterapinya ramah dan gercep, saya sangat puas berobat di Primaya"
PRIMAYA HOSPITAL TANGERANG,Sugiyarto Gunadi,2 bulan lalu,5.0,Sering berobat dapat layanan yg oke
PRIMAYA HOSPITAL TANGERANG,miss mountain,2 tahun lalu,5.0,"Dikira seram masuk kesini, ternyata pas masuk dijelasin sama petugas gimana alur pemeriksaanya jadinya ngerti gk seseram itu.Makasih buat mba & mas radiologi atas informasinya.."
PRIMAYA HOSPITAL TANGERANG,Wiwi Santra,6 bulan lalu,5.0,"Pelayanan sjper cepat, petugas sangat baik dan ramah ramah lohh.. puas ya berobat di primaya"
PRIMAYA HOSPITAL TANGERANG,randy asland pratama iskandar,3 tahun lalu,1.0,"Mengecewakan datang dari jam 19:00 sd jam 00:20 belum kelar juga pelayanan yang lelet dan bener bner ga maksimal , padahal tidak terlalu ramai apakah karena saya BPJS Jadi begini 🥺🥺🥺 pdahal ini tinggal masuk kamar doang sudah antingen tapi tidak dipanggil panggil …"
PRIMAYA HOSPITAL TANGERANG,Sulistya Ningsih,2 bulan lalu,5.0,"pelayanan sangat baik dan cepat, walaupun bpjs ditangani dengan baik"
PRIMAYA HOSPITAL TANGERANG,Jafar Sidik,10 bulan lalu,5.0,"Untuk pelayanan dari team UGD sampai ke team rawat inap tanggap. Anak saya berontak pada saat di pasang infus di handle dengan sabar.
Pas ada promo upgrade kamar juga untuk jaminan asuransi.
Semakin baik pelayanan nya."
PRIMAYA HOSPITAL TANGERANG,Miftah Farid,6 tahun lalu,5.0,"Rumah sakitnya bagus, ada musola kantin, dan mesin atm dilantai satu di dekat pintu masuk UGD, lahan parkir tidak begitu luas. disarankan untuk datang kesini lebih pagi karna semakin siang rumah sakit akan semakin ramai. untuk yg daftar berobat untuk anggota baru saja sampai 200 lebih orang."
PRIMAYA HOSPITAL TANGERANG,Saiful Millah,7 bulan lalu,5.0,"Untuk adm rawat jalan pelayanan nya sangat ramah dan memuaskan
Tolong pertahan kan"
PRIMAYA HOSPITAL TANGERANG,Wulan Darunisa,4 tahun lalu,5.0,"Pelayanannya cepet, saat mamaku sakit dan dibawa ke igd langsung ditangani segera 😭😭 dan dapat tindakan. Hasil lab nya juga cepet keluarnya 🙏🏻 jadi cepet untuk masuk ranap, dapet kamar yg bagus, bersih dan nyaman 🥺👍 susternya ramah ramah, satpam juga tanggap, untuk segala macam hal jelas. Doakan mamaku sehat selalu 🙏❤️ …"
PRIMAYA HOSPITAL TANGERANG,Mar joko,6 tahun lalu,4.0,dulu bangunan RS ini paling megah dan mudah terlihat diantara sederet bangunan lainnya. sekarang terlihat jauh lebih pendek karena bangunan apartemen di sekitarnya yg menjulang tinggi. RS ini pelayanan baik sewaktu adik saya di rawat. …
PRIMAYA HOSPITAL TANGERANG,Trisnawati Trisna,10 bulan lalu,5.0,"Saya sangat puas dengan pelayanan rawat inap di Primaya Hospital Tangerang. Staf medisnya ramah dan sigap, dokter sangat informatif, dan perawat-perawatnya perhatian sekali. Kamar rawat inap bersih, nyaman, dan fasilitasnya lengkap. Terima …"
